C:\Users\Zver>jps
3976 RemoteMavenServer36
4956 gc-demo.jar

C:\Users\Zver>jmap -histo 4956
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6358631      723287816  [B (java.base@16.0.1)
   2:       5943173      142636152  java.lang.String (java.base@16.0.1)
   3:          1871       10124064  [I (java.base@16.0.1)
   4:            18        4000752  [Ljava.lang.String; (java.base@16.0.1)
   5:           686          84128  java.lang.Class (java.base@16.0.1)
   6:           889          60856  [Ljava.lang.Object; (java.base@16.0.1)
   7:            16          40952  [C (java.base@16.0.1)
   8:          1013          32416  java.util.HashMap$Node (java.base@16.0.1)
   9:           902          28864  java.util.concurrent.ConcurrentHashMap$Node (java.base@16.0.1)
  10:           260          24256  [Ljava.util.HashMap$Node; (java.base@16.0.1)
  11:           261          12528  java.util.HashMap (java.base@16.0.1)
  12:            19          11184  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@16.0.1)
  13:           360           8640  java.lang.module.ModuleDescriptor$Exports (java.base@16.0.1)
  14:           248           5952  java.util.ImmutableCollections$Set12 (java.base@16.0.1)
  15:            62           4960  java.net.URI (java.base@16.0.1)
  16:           132           4224  java.lang.module.ModuleDescriptor$Requires (java.base@16.0.1)
  17:           256           4096  java.lang.Integer (java.base@16.0.1)
  18:            62           3968  java.lang.module.ModuleDescriptor (java.base@16.0.1)
  19:            68           3808  java.lang.Module (java.base@16.0.1)
  20:            10           3680  java.lang.Thread (java.base@16.0.1)
  21:            62           3472  jdk.internal.module.ModuleReferenceImpl (java.base@16.0.1)
  22:           141           3384  java.util.ImmutableCollections$SetN (java.base@16.0.1)
  23:           197           3152  java.util.HashSet (java.base@16.0.1)
  24:            38           2432  java.util.concurrent.ConcurrentHashMap (java.base@16.0.1)
  25:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@16.0.1)
  26:            62           1488  java.lang.module.ResolvedModule (java.base@16.0.1)
  27:            62           1488  jdk.internal.module.SystemModuleFinders$2 (java.base@16.0.1)
  28:            61           1464  java.lang.module.ModuleDescriptor$Provides (java.base@16.0.1)
  29:            61           1464  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@16.0.1)
  30:            55           1320  java.util.ImmutableCollections$List12 (java.base@16.0.1)
  31:            69           1104  java.lang.Object (java.base@16.0.1)
  32:             4           1088  [J (java.base@16.0.1)
  33:            15           1080  java.lang.reflect.Field (java.base@16.0.1)
  34:             1           1040  [Ljava.lang.Integer; (java.base@16.0.1)
  35:            24            960  java.io.ObjectStreamField (java.base@16.0.1)
  36:            60            960  jdk.internal.module.SystemModuleFinders$3 (java.base@16.0.1)
  37:            30            720  java.util.concurrent.CopyOnWriteArrayList (java.base@16.0.1)
  38:            29            696  java.util.jar.Attributes$Name (java.base@16.0.1)
  39:            20            640  java.util.Locale (java.base@16.0.1)
  40:            20            640  sun.util.locale.BaseLocale (java.base@16.0.1)
  41:             7            560  java.util.concurrent.TimeUnit (java.base@16.0.1)
  42:            13            520  java.security.AccessControlContext (java.base@16.0.1)
  43:            12            480  java.lang.OutOfMemoryError (java.base@16.0.1)
